What is an ***stacking context***?,"The **stacking context** is a three-dimensional conceptualization of HTML elements along an imaginary z-axis relative to the user, who is assumed to be facing the viewport or the webpage. HTML elements occupy this space in priority order based on element attributes.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_positioned_layout/Understanding_z-index/Stacking_context)*"
When is an ***stacking context*** formed?,"A *stacking context* is formed, anywhere in the document, by any element in the following scenarios:

* Root element of the document (`<html>`).
* Element with a `position` value of `absolute`, `fixed` or `sticky`
* Element with `position: relative` and `z-index` value other than `auto`.
* A child of a flex container or a grid container, with `z-index` value other than `auto`.
* Element with an `opacity` value less than `1`.
* Element with a `mix-blend-mode` value other than `normal`.
* Element with any of the following properties with value other than `none`: 
    `transform`, `filter`, `backdrop-filter`, `perspective`, `clip-path`, `mask` / `mask-image` / `mask-border`.
* Element with an `isolation: isolate`.
* Element with a `will-change` value specifying any property that would create a stacking context on non-initial value.
* Element with a `contain` value of `layout`, or `paint`, or a `composite` value that includes either of them (i.e. `contain: strict, contain: content`).

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Positioning/Understanding_z_index/The_stacking_context#the_stacking_context)*"
What does `position` CSS property do?,"The ***position*** CSS property sets how an element is positioned in a document. The *top*, *right*, *bottom*, and *left* properties determine the final location of positioned elements.  
  
Examples:

```
position: static;
position: relative;
position: absolute;
position: fixed;
position: sticky;
```

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position)*"
What does `position: static` do to an element?,"* The element is positioned according to the normal flow of the document. The `top`, `right`, `bottom`, `left`, and `z-index` properties have no effect. 

* `static` **is the default value**.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position#values)*"
What does `position: relative` do to an element?,"* The element is positioned according to the normal flow of the document, and then offset relative to itself based on the values of `top`, `right`, `bottom`, `left`. The offset does not affect the position of any other elements; thus, the space given for the element in the page layout is the same as if position were static.    

* This value creates a new stacking context when the value of `z-index` is not `auto`. 

* Has no effect on `table-*-group`, `table-row`, `table-column`, `table-cell`, and `table-caption` elements.

**NOTE**: Unlike fixed and absolute positioning, you cannot use `top`, `right`, `bottom` and `left` to change the size of a relatively positioned element. Those values will only shift the position of the element up or down, left or right. You can use `top` or `bottom`, but not both together (`bottom` will be ignored); likewise, you can use `left` or `right`, but not both (`right` will be ignored).

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position#values)*"
What does `position: absolute` do to an element?,"* The element is removed from the normal document flow, and no space is created for the element in the page layout. It is positioned relative to its closest positioned ancestor, if any; otherwise, it is placed relative to the initial containing block. Its final position is determined by the values of `top`, `right`, `bottom`, `left`.  

* This value creates a new stacking context when the value of `z-index` is not `auto`. 
* The margins of **absolutely positioned boxes do not collapse with other margins**.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position#values)*"
What does `position: fixed` do to an element?,"* The element is removed from the normal document flow, and no space is created for the element in the page layout. 

* It is positioned relative to the initial containing block established by the viewport, except when one of its ancestors has a [`transform`](https://developer.mozilla.org/en-US/docs/Web/CSS/transform), [`perspective`](https://developer.mozilla.org/en-US/docs/Web/CSS/perspective), or [`filter`](https://developer.mozilla.org/en-US/docs/Web/CSS/filter) property set to something other than `none`, or the [`will-change`](https://developer.mozilla.org/en-US/docs/Web/CSS/will-change) property is set to `transform`, `perspective` or `filter`, in which case that ancestor behaves as the containing block. 

* Its final position is determined by the values of `top`, `right`, `bottom` and `left`.  

* This value always creates a new stacking context. In printed documents, the element is placed in the same position on every page.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position#values)*"
What does `position: sticky` do to an element?,"* The element is positioned according to the normal flow of the document, and then offset relative to its nearest scrolling ancestor and containing block (nearest block-level ancestor), including table-related elements, based on the values of  `top`, `right`, `bottom` and `left`. The offset does not affect the position of any other elements.  

* This value always creates a new stacking context. 
* Note that a sticky element ""sticks"" to its nearest ancestor that has a ""scrolling mechanism"" (created when `overflow` is `hidden`, `scroll`, `auto`, or `overlay`), even if that ancestor isn't the nearest actually scrolling ancestor.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position#values)*"
What is a ***positioned element***?,"A **positioned elemen**t is an element whose computed `ñposition` value is either `relative`, `absolute`, `fixed`, or `sticky'` (In other words, it's anything except `static`.)

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position#types_of_positioning)*"
What is the problem with `fixed` or `stiky` content?,"Scrolling elements containing `fixed` or `sticky` content can cause performance and accessibility issues. 
 
As a user scrolls, the browser must repaint the sticky or fixed content in a new location. Depending on the content needing to be repainted, the browser performance, and the device's processing speed, the browser may not be able to manage repaints at 60 fps, causing accessibility concerns for people with sensitivities and jank for everyone.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position#performance_accessibility)*"
How can you solve performance issues of `fixed` or `sticky` content?,"Adding 

```
will-change: transform
```

to the positioned elements to render the element in its own layer, improving repaint speed and therefore improving performance and accessibility.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/position#performance_accessibility)*"
How can you crete a ***modal backdrop*** that fills the entire viewport?,"```
.modal-backdrop {
  position: fixed;
  top: 0;
  right: 0;
  bottom: 0;
  left: 0;
  background-color: rgba(0, 0, 0, 0.5);
}
```

Using `position: fixed` and setting each of the four sides set to 0 makes the backdrop fill the entire viewport.

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
What is the *containing block* of a `fixed` positioned element?,"The viewport

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
What is the *containing block* of an `absolute` postioned element?,"Its closest ***positioned*** ancestor element.
 
**NOTE**: If none of the element’s ancestors are positioned, then the absolutely positioned element will be positioned based on something called the *initial containing block*. This is an area with dimensions equal to the viewport size, anchored at the top of the page.

## Footnote

*Source: Keith J. Grant (2018). CSS in Depth. Manning Publications.*"
